transaction_id,amount,transaction_time,location,is_fraud
1,52.34,2025-07-01 08:15:23,Phnom Penh,0
2,23.45,2025-07-01 09:12:11,Phnom Penh,0
3,75.12,2025-07-01 10:45:09,Phnom Penh,0
4,18.90,2025-07-01 11:30:45,Phnom Penh,0
5,120.00,2025-07-01 12:05:33,Phnom Penh,0
6,45.67,2025-07-01 13:22:18,Phnom Penh,0
7,33.21,2025-07-01 14:10:55,Phnom Penh,0
8,67.89,2025-07-01 15:47:02,Phnom Penh,0
9,29.99,2025-07-01 16:33:40,Phnom Penh,0
10,88.76,2025-07-01 17:20:27,Phnom Penh,0
11,54.32,2025-07-01 18:15:13,Phnom Penh,0
12,21.45,2025-07-01 19:02:59,Phnom Penh,0
13,76.54,2025-07-01 20:50:46,Phnom Penh,0
14,19.87,2025-07-01 21:37:33,Phnom Penh,0
15,110.23,2025-07-01 22:24:20,Phnom Penh,0
16,47.65,2025-07-01 23:11:07,Phnom Penh,0
17,35.12,2025-07-02 00:57:54,Phnom Penh,0
18,68.90,2025-07-02 01:44:41,Phnom Penh,0
19,31.23,2025-07-02 02:31:28,Phnom Penh,0
20,90.45,2025-07-02 03:18:15,Phnom Penh,0
21,56.78,2025-07-02 04:05:02,Phnom Penh,0
22,22.34,2025-07-02 04:51:49,Phnom Penh,0
23,77.12,2025-07-02 05:38:36,Phnom Penh,0
24,20.90,2025-07-02 06:25:23,Phnom Penh,0
25,115.00,2025-07-02 07:12:10,Phnom Penh,0
26,49.67,2025-07-02 07:58:57,Phnom Penh,0
27,37.21,2025-07-02 08:45:44,Phnom Penh,0
28,69.89,2025-07-02 09:32:31,Phnom Penh,0
29,32.99,2025-07-02 10:19:18,Phnom Penh,0
30,92.76,2025-07-02 11:06:05,Phnom Penh,0
31,58.32,2025-07-02 11:52:52,Phnom Penh,0
32,23.45,2025-07-02 12:39:39,Phnom Penh,0
33,78.54,2025-07-02 13:26:26,Phnom Penh,0
34,21.87,2025-07-02 14:13:13,Phnom Penh,0
35,112.23,2025-07-02 15:00:00,Phnom Penh,0
36,50.65,2025-07-02 15:46:47,Phnom Penh,0
37,38.12,2025-07-02 16:33:34,Phnom Penh,0
38,70.90,2025-07-02 17:20:21,Phnom Penh,0
39,34.23,2025-07-02 18:07:08,Phnom Penh,0
40,94.45,2025-07-02 18:53:55,Phnom Penh,0
41,60.78,2025-07-02 19:40:42,Phnom Penh,0
42,24.34,2025-07-02 20:27:29,Phnom Penh,0
43,79.12,2025-07-02 21:14:16,Phnom Penh,0
44,22.90,2025-07-02 22:01:03,Phnom Penh,0
45,118.00,2025-07-02 22:47:50,Phnom Penh,0
46,51.67,2025-07-02 23:34:37,Phnom Penh,0
47,39.21,2025-07-03 00:21:24,Phnom Penh,0
48,71.89,2025-07-03 01:08:11,Phnom Penh,0
49,35.99,2025-07-03 01:54:58,Phnom Penh,0
50,96.76,2025-07-03 02:41:45,Phnom Penh,0
51,62.32,2025-07-03 03:28:32,Phnom Penh,0
52,25.45,2025-07-03 04:15:19,Phnom Penh,0
53,80.54,2025-07-03 05:02:06,Phnom Penh,0
54,23.87,2025-07-03 05:48:53,Phnom Penh,0
55,114.23,2025-07-03 06:35:40,Phnom Penh,0
56,52.65,2025-07-03 07:22:27,Phnom Penh,0
57,40.12,2025-07-03 08:09:14,Phnom Penh,0
58,72.90,2025-07-03 08:56:01,Phnom Penh,0
59,36.23,2025-07-03 09:42:48,Phnom Penh,0
60,98.45,2025-07-03 10:29:35,Phnom Penh,0
61,64.78,2025-07-03 11:16:22,Phnom Penh,0
62,26.34,2025-07-03 12:03:09,Phnom Penh,0
63,81.12,2025-07-03 12:49:56,Phnom Penh,0
64,24.90,2025-07-03 13:36:43,Phnom Penh,0
65,121.00,2025-07-03 14:23:30,Phnom Penh,0
66,53.67,2025-07-03 15:10:17,Phnom Penh,0
67,41.21,2025-07-03 15:57:04,Phnom Penh,0
68,73.89,2025-07-03 16:43:51,Phnom Penh,0
69,37.99,2025-07-03 17:30:38,Phnom Penh,0
70,100.76,2025-07-03 18:17:25,Phnom Penh,0
71,66.32,2025-07-03 19:04:12,Phnom Penh,0
72,27.45,2025-07-03 19:50:59,Phnom Penh,0
73,82.54,2025-07-03 20:37:46,Phnom Penh,0
74,25.87,2025-07-03 21:24:33,Phnom Penh,0
75,116.23,2025-07-03 22:11:20,Phnom Penh,0
76,54.65,2025-07-03 22:58:07,Phnom Penh,0
77,42.12,2025-07-03 23:44:54,Phnom Penh,0
78,74.90,2025-07-04 00:31:41,Phnom Penh,0
79,39.23,2025-07-04 01:18:28,Phnom Penh,0
80,102.45,2025-07-04 02:05:15,Phnom Penh,0
81,68.78,2025-07-04 02:52:02,Phnom Penh,0
82,28.34,2025-07-04 03:38:49,Phnom Penh,0
83,83.12,2025-07-04 04:25:36,Phnom Penh,0
84,26.90,2025-07-04 05:12:23,Phnom Penh,0
85,123.00,2025-07-04 05:59:10,Phnom Penh,0
86,55.67,2025-07-04 06:45:57,Phnom Penh,0
87,43.21,2025-07-04 07:32:44,Phnom Penh,0
88,75.89,2025-07-04 08:19:31,Phnom Penh,0
89,40.99,2025-07-04 09:06:18,Phnom Penh,0
90,104.76,2025-07-04 09:53:05,Phnom Penh,0
91,70.32,2025-07-04 10:39:52,Phnom Penh,0
92,29.45,2025-07-04 11:26:39,Phnom Penh,0
93,84.54,2025-07-04 12:13:26,Phnom Penh,0
94,27.87,2025-07-04 13:00:13,Phnom Penh,0
95,119.23,2025-07-04 13:47:00,Phnom Penh,0
96,56.65,2025-07-04 14:33:47,Phnom Penh,0
97,44.12,2025-07-04 15:20:34,Phnom Penh,0
98,76.90,2025-07-04 16:07:21,Phnom Penh,0
