Date,Close
3/27/2014 16:00:00,27.85
3/28/2014 16:00:00,27.92
3/31/2014 16:00:00,27.77
4/1/2014 16:00:00,28.28
4/2/2014 16:00:00,28.27
4/3/2014 16:00:00,28.41
4/4/2014 16:00:00,27.08
4/7/2014 16:00:00,26.83
4/8/2014 16:00:00,27.67
4/9/2014 16:00:00,28.13
4/10/2014 16:00:00,26.97
4/11/2014 16:00:00,26.46
4/14/2014 16:00:00,26.55
4/15/2014 16:00:00,26.75
4/16/2014 16:00:00,27.75
4/17/2014 16:00:00,26.73
4/21/2014 16:00:00,26.36
4/22/2014 16:00:00,26.67
4/23/2014 16:00:00,26.27
4/24/2014 16:00:00,26.19
4/25/2014 16:00:00,25.74
4/28/2014 16:00:00,25.79
4/29/2014 16:00:00,26.31
4/30/2014 16:00:00,26.26
5/1/2014 16:00:00,26.49
5/2/2014 16:00:00,26.32
5/5/2014 16:00:00,26.32
5/6/2014 16:00:00,25.69
5/7/2014 16:00:00,25.43
5/8/2014 16:00:00,25.48
5/9/2014 16:00:00,25.87
5/12/2014 16:00:00,26.42
5/13/2014 16:00:00,26.58
5/14/2014 16:00:00,26.26
5/15/2014 16:00:00,25.93
5/16/2014 16:00:00,25.96
5/19/2014 16:00:00,26.37
5/20/2014 16:00:00,26.42
5/21/2014 16:00:00,26.87
5/22/2014 16:00:00,27.18
5/23/2014 16:00:00,27.56
5/27/2014 16:00:00,28.22
5/28/2014 16:00:00,28.01
5/29/2014 16:00:00,27.93
5/30/2014 16:00:00,27.92
6/2/2014 16:00:00,27.62
6/3/2014 16:00:00,27.17
6/4/2014 16:00:00,27.16
6/5/2014 16:00:00,27.62
6/6/2014 16:00:00,27.74
6/9/2014 16:00:00,28.03
6/10/2014 16:00:00,27.95
6/11/2014 16:00:00,27.87
6/12/2014 16:00:00,27.49
6/13/2014 16:00:00,27.51
6/16/2014 16:00:00,27.14
6/17/2014 16:00:00,27.08
6/18/2014 16:00:00,27.59
6/19/2014 16:00:00,27.67
6/20/2014 16:00:00,27.74
6/23/2014 16:00:00,28.17
6/24/2014 16:00:00,28.15
6/25/2014 16:00:00,28.85
6/26/2014 16:00:00,28.72
6/27/2014 16:00:00,28.78
6/30/2014 16:00:00,28.69
7/1/2014 16:00:00,29.05
7/2/2014 16:00:00,29.04
7/3/2014 16:00:00,29.16
7/7/2014 16:00:00,29.03
7/8/2014 16:00:00,28.48
7/9/2014 16:00:00,28.73
7/10/2014 16:00:00,28.48
7/11/2014 16:00:00,28.88
7/14/2014 16:00:00,29.16
7/15/2014 16:00:00,29.16
7/16/2014 16:00:00,29.05
7/17/2014 16:00:00,28.61
7/18/2014 16:00:00,29.67
7/21/2014 16:00:00,29.39
7/22/2014 16:00:00,29.66
7/23/2014 16:00:00,29.72
7/24/2014 16:00:00,29.59
7/25/2014 16:00:00,29.37
7/28/2014 16:00:00,29.45
7/29/2014 16:00:00,29.2
7/30/2014 16:00:00,29.29
7/31/2014 16:00:00,28.5
8/1/2014 16:00:00,28.23
8/4/2014 16:00:00,28.58
8/5/2014 16:00:00,28.18
8/6/2014 16:00:00,28.24
8/7/2014 16:00:00,28.09
8/8/2014 16:00:00,28.36
8/11/2014 16:00:00,28.32
8/12/2014 16:00:00,28.06
8/13/2014 16:00:00,28.66
8/14/2014 16:00:00,28.65
8/15/2014 16:00:00,28.6
8/18/2014 16:00:00,29.03
8/19/2014 16:00:00,29.26
8/20/2014 16:00:00,29.14
8/21/2014 16:00:00,29.09
8/22/2014 16:00:00,29.05
8/25/2014 16:00:00,28.93
8/26/2014 16:00:00,28.81
8/27/2014 16:00:00,28.47
8/28/2014 16:00:00,28.38
8/29/2014 16:00:00,28.5
9/2/2014 16:00:00,28.79
9/3/2014 16:00:00,28.82
9/4/2014 16:00:00,29.02
9/5/2014 16:00:00,29.22
9/8/2014 16:00:00,29.41
9/9/2014 16:00:00,28.97
9/10/2014 16:00:00,29.08
9/11/2014 16:00:00,28.99
9/12/2014 16:00:00,28.7
9/15/2014 16:00:00,28.58
9/16/2014 16:00:00,28.92
9/17/2014 16:00:00,29.16
9/18/2014 16:00:00,29.38
9/19/2014 16:00:00,29.72
9/22/2014 16:00:00,29.29
9/23/2014 16:00:00,28.98
9/24/2014 16:00:00,29.32
9/25/2014 16:00:00,28.67
9/26/2014 16:00:00,28.78
9/29/2014 16:00:00,28.74
9/30/2014 16:00:00,28.79
10/1/2014 16:00:00,28.34
10/2/2014 16:00:00,28.43
10/3/2014 16:00:00,28.69
10/6/2014 16:00:00,28.79
10/7/2014 16:00:00,28.11
10/8/2014 16:00:00,28.55
10/9/2014 16:00:00,27.97
10/10/2014 16:00:00,27.15
10/13/2014 16:00:00,26.59
10/14/2014 16:00:00,26.82
10/15/2014 16:00:00,26.43
10/16/2014 16:00:00,26.15
10/17/2014 16:00:00,25.49
10/20/2014 16:00:00,25.97
10/21/2014 16:00:00,26.25
10/22/2014 16:00:00,26.56
10/23/2014 16:00:00,27.12
10/24/2014 16:00:00,26.92
10/27/2014 16:00:00,26.96
10/28/2014 16:00:00,27.37
10/29/2014 16:00:00,27.39
10/30/2014 16:00:00,27.44
